Start of Path: 
0.01, 0.0003, -7.1625, 0.0000, 0.0003, -7.1625, 0.0000, 0.0239,0.0239
0.02, 0.0016, -7.1625, 0.0000, 0.0016, -7.1625, 0.0000, 0.0551,0.0551
0.03, 0.0049, -7.1625, 0.0000, 0.0049, -7.1625, 0.0000, 0.0829,0.0829
0.04, 0.0110, -7.1625, 0.0000, 0.0110, -7.1625, 0.0000, 0.1128,0.1128
0.05, 0.0208, -7.1625, 0.0000, 0.0208, -7.1625, 0.0000, 0.1447,0.1447
0.06, 0.0352, -7.1625, 0.0000, 0.0352, -7.1625, 0.0000, 0.1787,0.1787
0.07, 0.0549, -7.1625, 0.0000, 0.0549, -7.1625, 0.0000, 0.2148,0.2148
0.08, 0.0809, -7.1625, 0.0000, 0.0809, -7.1625, 0.0000, 0.2529,0.2529
0.09, 0.1141, -7.1625, 0.0000, 0.1141, -7.1625, 0.0000, 0.2931,0.2931
0.10, 0.1552, -7.1625, 0.0000, 0.1552, -7.1625, 0.0000, 0.3353,0.3353
0.11, 0.2052, -7.1625, 0.0000, 0.2052, -7.1625, 0.0000, 0.3796,0.3796
0.12, 0.2649, -7.1625, 0.0000, 0.2649, -7.1625, 0.0000, 0.4087,0.4087
0.13, 0.3346, -7.1625, 0.0000, 0.3346, -7.1625, 0.0000, 0.4324,0.4324
0.14, 0.4142, -7.1625, 0.0000, 0.4142, -7.1625, 0.0000, 0.4561,0.4561
0.15, 0.5038, -7.1625, 0.0000, 0.5038, -7.1625, 0.0000, 0.4798,0.4798
0.16, 0.6033, -7.1625, 0.0000, 0.6033, -7.1625, 0.0000, 0.5036,0.5036
0.17, 0.7127, -7.1625, 0.0000, 0.7127, -7.1625, 0.0000, 0.5272,0.5272
0.18, 0.8321, -7.1625, 0.0000, 0.8321, -7.1625, 0.0000, 0.5509,0.5509
0.19, 0.9615, -7.1625, 0.0000, 0.9615, -7.1625, 0.0000, 0.5746,0.5746
0.20, 1.1008, -7.1625, 0.0000, 1.1008, -7.1625, 0.0000, 0.5983,0.5983
0.21, 1.2501, -7.1625, 0.0000, 1.2501, -7.1625, 0.0000, 0.6212,0.6212
0.22, 1.4093, -7.1625, 0.0000, 1.4093, -7.1625, 0.0000, 0.6456,0.6456
0.23, 1.5784, -7.1625, 0.0000, 1.5784, -7.1625, 0.0000, 0.6692,0.6692
0.24, 1.7575, -7.1625, 0.0000, 1.7575, -7.1625, 0.0000, 0.6929,0.6929
0.25, 1.9466, -7.1625, 0.0000, 1.9466, -7.1625, 0.0000, 0.7167,0.7167
0.26, 2.1456, -7.1625, 0.0000, 2.1456, -7.1625, 0.0000, 0.7403,0.7403
0.27, 2.3546, -7.1625, 0.0000, 2.3546, -7.1625, 0.0000, 0.7640,0.7640
0.28, 2.5735, -7.1625, 0.0000, 2.5735, -7.1625, 0.0000, 0.7885,0.7885
0.29, 2.8024, -7.1625, 0.0000, 2.8024, -7.1625, 0.0000, 0.8116,0.8116
0.30, 3.0412, -7.1625, 0.0000, 3.0412, -7.1625, 0.0000, 0.8353,0.8353
0.31, 3.2900, -7.1625, 0.0000, 3.2900, -7.1625, 0.0000, 0.8590,0.8590
0.32, 3.5488, -7.1625, 0.0000, 3.5488, -7.1625, 0.0000, 0.8827,0.8827
0.33, 3.8175, -7.1625, 0.0000, 3.8175, -7.1625, 0.0000, 0.9063,0.9063
0.34, 4.0961, -7.1625, 0.0000, 4.0961, -7.1625, 0.0000, 0.9300,0.9300
0.35, 4.3848, -7.1625, 0.0000, 4.3848, -7.1625, 0.0000, 0.9538,0.9538
0.36, 4.6833, -7.1625, 0.0000, 4.6833, -7.1625, 0.0000, 0.9774,0.9774
